fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
187,AegonDynamic6,01/01/2023,1.0,0,0,2,0,1,1.0411660955897122,1.027588713272487,1.027588713272487
188,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
189,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
190,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
191,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
192,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
193,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
194,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
195,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
196,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
197,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
198,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
199,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
200,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
201,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
202,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
203,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
204,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
205,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
206,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
207,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
208,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
209,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
210,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
211,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
212,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
213,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
214,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
215,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
216,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
217,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
218,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
219,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
220,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
