keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608320620,608320620,FUND,AXENT,003,446.6307,12184,100.0,SCHAKELSPAAR,SCHAKELSPAAR,435.9937,10.637,0.0,172
608320640,608320640,FUND,AXENT,003,463.1556,12648,100.0,SCHAKELSPAAR,SCHAKELSPAAR,454.4655,8.6901,0.0,173
608320670,608320670,FUND,AXENT,003,626.8503,17310,100.0,SCHAKELSPAAR,SCHAKELSPAAR,609.0903,17.76,0.0,174
608320710,608320710,FUND,AXENT,003,232.9867,6328,100.0,SCHAKELSPAAR,SCHAKELSPAAR,228.6105,4.3762,0.0,175
608320720,608320720,FUND,AXENT,003,752.8290999999999,17775,100.0,SCHAKELSPAAR,SCHAKELSPAAR,738.4014,14.4277,0.0,176
608320730,608320730,FUND,AXENT,003,766.0723,16121,100.0,SCHAKELSPAAR,SCHAKELSPAAR,743.5171,22.5552,0.0,177
608320760,608320760,FUND,AXENT,003,43.8976,1394,100.0,SCHAKELSPAAR,SCHAKELSPAAR,43.3412,0.5564,0.0,178
608320780,608320780,FUND,AXENT,003,486.7965,13429,100.0,SCHAKELSPAAR,SCHAKELSPAAR,481.9842,4.8123,0.0,179
608320790,608320790,FUND,AXENT,003,307.5294,5167,100.0,SCHAKELSPAAR,SCHAKELSPAAR,305.7405,1.7889,0.0,180
608320800,608320800,FUND,AXENT,003,556.2545,20724,100.0,SCHAKELSPAAR,SCHAKELSPAAR,553.549,2.7055,0.0,181
608320810,608320810,FUND,AXENT,003,247.13639999999998,6841,100.0,SCHAKELSPAAR,SCHAKELSPAAR,245.3455,1.7909,0.0,182
608320890,608320890,FUND,AXENT,012,767.87,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,763.3894,4.4806,0.0,183
608320980,608320980,FUND,AXENT,002,601.6454,26051,100.0,SCHAKELSPAAR,SCHAKELSPAAR,598.232,3.4134,0.0,184
608321000,608321000,FUND,AXENT,003,78.46549999999999,1429,100.0,SCHAKELSPAAR,SCHAKELSPAAR,77.814,0.6515,0.0,185
608321020,608321020,FUND,AXENT,012,1586.1152,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1568.6045,17.5107,0.0,186
608321030,608321030,FUND,AXENT,012,890.0476000000001,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,849.7838,40.2638,0.0,187
608321190,608321190,FUND,AXENT,003,394.5079,10912,100.0,SCHAKELSPAAR,SCHAKELSPAAR,391.492,3.0159,0.0,188
608321200,608321200,FUND,AXENT,003,404.1669,11226,100.0,SCHAKELSPAAR,SCHAKELSPAAR,402.6365,1.5304,0.0,189
608321230,608321230,FUND,AXENT,002,560.6433999999999,23235,100.0,SCHAKELSPAAR,SCHAKELSPAAR,550.8366,9.8068,0.0,190
