postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608555600,SPAARKAS,SCHAKELSPAAR,1,IF,76,Y,1,1,ASB,,C,0.0,0.0,M,2002,9,M,40.42,1962,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,294.0,0,0,0.0,0.0,,,
608556300,SPAARKAS,SCHAKELSPAAR,1,IF,77,Y,1,1,ASB,,C,0.0,0.0,M,2002,8,F,43.67,1958,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,255.0,0,0,0.0,0.0,,,
608324570,SPAARKAS,SCHAKELSPAAR,1,IF,78,Y,1,1,ASB,,C,0.0,0.0,M,1997,12,M,24.42,1973,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608557160,SPAARKAS,SCHAKELSPAAR,1,IF,79,Y,1,1,ASB,,C,0.0,0.0,M,2002,9,F,28.17,1974,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608558120,SPAARKAS,SCHAKELSPAAR,1,IF,80,N,1,1,ASB,,C,0.0,0.0,M,2002,9,M,36.17,1966,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608559000,SPAARKAS,SCHAKELSPAAR,1,IF,81,N,1,1,MVI,,C,0.0,0.0,M,2002,10,F,37.92,1964,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,324.0,0,0,0.0,0.0,,,
608559900,SPAARKAS,SCHAKELSPAAR,1,IF,82,Y,1,1,ASB,,C,0.0,0.0,M,2002,10,F,30.33,1972,5,0.0,,,,,,N,F,SCHAKELSPAAR,F,355.0,0,0,0.0,0.0,,,
608560930,SPAARKAS,SCHAKELSPAAR,1,IF,83,Y,1,1,ASB,,C,0.0,0.0,M,2002,10,M,31.5,1971,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608550940,SPAARKAS,SCHAKELSPAAR,1,IF,84,N,1,1,ASB,,C,0.0,0.0,M,2002,7,F,21.75,1980,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608561650,SPAARKAS,SCHAKELSPAAR,1,IF,85,Y,1,1,MVI,,C,0.0,0.0,M,2002,10,M,32.75,1969,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608562550,SPAARKAS,SCHAKELSPAAR,1,IF,86,N,1,1,ASB,,C,0.0,0.0,M,2002,11,F,33.25,1969,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608563400,SPAARKAS,SCHAKELSPAAR,1,IF,87,Y,1,1,ASB,,C,0.0,0.0,M,2002,11,F,33.92,1968,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608564040,SPAARKAS,SCHAKELSPAAR,1,IF,88,N,1,1,ASB,,C,0.0,0.0,M,2002,11,F,40.92,1961,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,288.0,0,0,0.0,0.0,,,
608564760,SPAARKAS,SCHAKELSPAAR,1,IF,89,Y,1,1,ASB,,C,0.0,0.0,M,2002,11,M,38.67,1964,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,231.0,0,0,0.0,0.0,,,
